Date,interest rate,Price,Open,High,Low,Vol.,Change %,USDKRW,S&P 500,Dow Jones,NASDAQ,Copper Close,Gold Close,Corn Close,GDP,CPI,WorkerRate,target
2017-10-08,1.16,4611.7,4435.8,4622.9,4419.4,71370.0,3.97,1143.46,2544.72998046875,22761.0703125,6579.72998046875,3.029,1276.03,350.0,20037.088,246.626,7.0,1
2017-10-09,1.16,4777.5,4611.7,4875.4,4556.1,110190.0,3.59,1143.46,2544.72998046875,22761.0703125,6579.72998046875,3.031,1284.1,349.5,20037.088,246.626,7.0,1
2017-10-10,1.16,4763.4,4777.5,4930.0,4722.8,98490.0,-0.3,1132.08,2550.639892578125,22830.6796875,6587.25,3.0605,1287.85,349.25,20037.088,246.626,7.0,0
2017-10-11,1.16,4824.2,4763.4,4874.9,4718.6,70480.0,1.28,1131.04,2555.239990234375,22872.890625,6603.5498046875,3.0955,1291.8,346.0,20037.088,246.626,7.0,1
2017-10-12,1.16,5432.6,4824.2,5432.6,4815.0,163920.0,12.61,1129.71,2550.929931640625,22841.009765625,6591.509765625,3.12,1293.6,349.0,20037.088,246.626,7.0,1
2017-10-13,1.16,5637.3,5432.6,5852.8,5392.0,215020.0,3.77,1125.01,2553.169921875,22871.720703125,6605.7998046875,3.1335,1304.88,352.75,20037.088,246.626,7.0,1
2017-10-14,1.16,5824.7,5637.3,5839.6,5568.9,76220.0,3.33,1127.72,2557.639892578125,22956.9609375,6624.0,3.1335,1304.88,352.75,20037.088,246.626,7.0,1
2017-10-15,1.16,5688.1,5824.7,5862.7,5448.2,101640.0,-2.34,1127.72,2557.639892578125,22956.9609375,6624.0,3.1335,1304.88,352.75,20037.088,246.626,7.0,0
2017-10-16,1.16,5759.3,5677.4,5795.3,5576.1,61360.0,1.25,1127.72,2557.639892578125,22956.9609375,6624.0,3.239,1294.74,350.5,20037.088,246.626,7.0,1
2017-10-17,1.16,5598.6,5759.3,5773.3,5521.1,65640.0,-2.79,1129.86,2559.360107421875,22997.439453125,6623.66015625,3.1955,1285.19,350.0,20037.088,246.626,7.0,0
2017-10-18,1.16,5575.8,5598.6,5601.3,5114.9,122020.0,-0.41,1130.94,2561.260009765625,23157.599609375,6624.22021484375,3.178,1281.17,348.5,20037.088,246.626,7.0,0
2017-10-19,1.16,5698.6,5576.7,5737.4,5517.6,83060.0,2.2,1129.06,2562.10009765625,23163.0390625,6605.06982421875,3.1675,1289.79,349.0,20037.088,246.626,7.0,1
2017-10-20,1.16,5993.1,5698.6,6075.3,5611.4,123860.0,5.17,1130.69,2575.2099609375,23328.630859375,6629.0498046875,3.1655,1280.72,344.5,20037.088,246.626,7.0,1
2017-10-21,1.16,6006.6,5993.1,6187.2,5874.5,112940.0,0.23,1129.73,2564.97998046875,23273.9609375,6586.830078125,3.1655,1280.72,344.5,20037.088,246.626,7.0,1
2017-10-22,1.16,5982.9,6006.6,6070.6,5723.0,105030.0,-0.4,1129.73,2564.97998046875,23273.9609375,6586.830078125,3.1655,1280.72,344.5,20037.088,246.626,7.0,0
2017-10-23,1.16,5903.6,5982.9,6049.0,5644.2,137140.0,-1.32,1129.73,2564.97998046875,23273.9609375,6586.830078125,3.188,1282.07,351.25,20037.088,246.626,7.0,0
2017-10-24,1.16,5513.1,5903.6,5904.6,5463.4,143740.0,-6.62,1128.36,2569.1298828125,23441.759765625,6598.43017578125,3.198,1276.72,352.75,20037.088,246.626,7.0,0
2017-10-25,1.16,5734.0,5513.1,5748.0,5375.6,105840.0,4.01,1126.49,2557.14990234375,23329.4609375,6563.89013671875,3.183,1277.41,351.0,20037.088,246.626,7.0,1
2017-10-26,1.16,5887.6,5734.0,5970.4,5689.9,93680.0,2.68,1123.0,2560.39990234375,23400.859375,6556.77001953125,3.1775,1267.11,350.5,20037.088,246.626,7.0,1
2017-10-27,1.16,5764.6,5887.6,5997.8,5692.3,83930.0,-2.09,1124.79,2581.070068359375,23434.189453125,6701.259765625,3.1035,1273.35,348.75,20037.088,246.626,7.0,0
2017-10-28,1.16,5726.6,5764.6,5871.0,5654.8,53230.0,-0.66,1124.79,2572.830078125,23348.740234375,6698.9599609375,3.1035,1273.35,348.75,20037.088,246.626,7.0,0
2017-10-29,1.16,6147.5,5726.6,6295.4,5679.4,163060.0,7.35,1124.79,2572.830078125,23348.740234375,6698.9599609375,3.1035,1273.35,348.75,20037.088,246.626,7.0,1
2017-10-30,1.16,6124.3,6147.7,6226.2,6019.0,78620.0,-0.38,1124.79,2572.830078125,23348.740234375,6698.9599609375,3.119,1276.24,348.75,20037.088,246.626,7.0,0
2017-10-31,1.07,6451.2,6124.3,6467.2,6090.8,101250.0,5.34,1115.68,2575.260009765625,23377.240234375,6727.669921875,3.108,1271.58,345.75,20037.088,246.626,7.0,1
2017-11-01,1.16,6737.8,6449.1,6738.7,6355.0,133190.0,4.44,1110.03,2579.360107421875,23435.009765625,6716.52978515625,3.1495,1274.39,348.25,20037.088,247.284,9.0,1
2017-11-02,1.16,7024.8,6737.8,7339.9,6737.8,238800.0,4.26,1111.54,2579.85009765625,23516.259765625,6714.93994140625,3.1505,1275.99,350.5,20037.088,247.284,9.0,1
2017-11-03,1.16,7152.1,7024.8,7445.6,6938.9,154890.0,1.81,1114.86,2587.840087890625,23539.189453125,6764.43994140625,3.125,1269.85,348.25,20037.088,247.284,9.0,1
2017-11-04,1.16,7363.8,7147.0,7492.2,6957.8,106600.0,2.96,1110.09,2591.1298828125,23548.419921875,6786.43994140625,3.125,1269.85,348.25,20037.088,247.284,9.0,1
2017-11-05,1.16,7389.5,7363.8,7599.4,7284.3,105730.0,0.35,1110.09,2591.1298828125,23548.419921875,6786.43994140625,3.125,1269.85,348.25,20037.088,247.284,9.0,1
2017-11-06,1.16,6959.2,7389.5,7429.7,6934.7,159690.0,-5.82,1110.09,2591.1298828125,23548.419921875,6786.43994140625,3.165,1281.55,348.0,20037.088,247.284,9.0,0
2017-11-07,1.16,7102.8,6959.3,7222.4,6957.8,101050.0,2.06,1113.1,2590.639892578125,23557.23046875,6767.77978515625,3.097,1275.53,347.75,20037.088,247.284,9.0,1
2017-11-08,1.16,7444.4,7102.2,7869.1,7027.0,220220.0,4.81,1111.14,2594.3798828125,23563.359375,6789.1201171875,3.1065,1281.3,348.25,20037.088,247.284,9.0,1
2017-11-09,1.16,7129.6,7444.4,7457.1,7040.8,126770.0,-4.23,1118.13,2584.6201171875,23461.939453125,6750.0498046875,3.0935,1285.3,341.5,20037.088,247.284,9.0,0
2017-11-10,1.16,6565.8,7129.6,7319.0,6406.0,222000.0,-7.91,1118.13,2582.300048828125,23422.2109375,6750.93994140625,3.0835,1276.14,343.5,20037.088,247.284,9.0,0
2017-11-11,1.16,6339.9,6565.8,6821.5,6197.9,135720.0,-3.44,1119.96,2584.840087890625,23439.69921875,6757.60009765625,3.0835,1276.14,343.5,20037.088,247.284,9.0,0
2017-11-12,1.16,5878.1,6339.9,6490.5,5493.6,269830.0,-7.28,1119.96,2584.840087890625,23439.69921875,6757.60009765625,3.0835,1276.14,343.5,20037.088,247.284,9.0,0
2017-11-13,1.16,6522.5,5878.1,6760.1,5828.3,178340.0,10.96,1119.96,2584.840087890625,23439.69921875,6757.60009765625,3.124,1277.99,342.25,20037.088,247.284,9.0,1
2017-11-14,1.16,6597.1,6522.5,6728.6,6419.2,96500.0,1.14,1113.65,2578.8701171875,23409.470703125,6737.8701171875,3.073,1280.71,337.5,20037.088,247.284,9.0,1
2017-11-15,1.16,7283.2,6597.1,7330.1,6596.9,131120.0,10.4,1103.9,2564.6201171875,23271.279296875,6706.2099609375,3.062,1278.8,338.25,20037.088,247.284,9.0,1
2017-11-16,1.16,7853.7,7283.0,7964.6,7119.2,133940.0,7.83,1094.49,2585.639892578125,23458.359375,6793.2900390625,3.056,1278.47,336.5,20037.088,247.284,9.0,1
