Date,interest rate,Price,Vol.,USDKRW,S&P 500,Dow Jones,NASDAQ,Copper Close,Gold Close,Corn Close,GDP,CPI,WorkerRate,target
2017-10-01,1.06,4403.1,60580.0,1146.18,2529.1201171875,22557.599609375,6516.72021484375,2.955,1279.45,355.25,20037.088,246.626,7.0,1
2017-10-02,1.16,4401.3,71200.0,1146.18,2529.1201171875,22557.599609375,6516.72021484375,2.9555,1271.12,351.5,20037.088,246.626,7.0,0
2017-10-03,1.16,4314.2,81870.0,1140.5,2534.580078125,22641.669921875,6531.7099609375,2.9635,1271.75,349.5,20037.088,246.626,7.0,0
2017-10-04,1.16,4218.7,64080.0,1140.44,2537.739990234375,22661.640625,6534.6298828125,2.959,1274.69,348.25,20037.088,246.626,7.0,0
2017-10-05,1.16,4321.4,63610.0,1139.03,2552.070068359375,22775.390625,6585.35986328125,3.0465,1268.05,349.5,20037.088,246.626,7.0,1
2017-10-06,1.16,4371.9,61690.0,1143.46,2549.330078125,22773.669921875,6590.18017578125,3.029,1276.03,350.0,20037.088,246.626,7.0,1
2017-10-07,1.16,4435.8,40200.0,1143.46,2544.72998046875,22761.0703125,6579.72998046875,3.029,1276.03,350.0,20037.088,246.626,7.0,1
2017-10-08,1.16,4611.7,71370.0,1143.46,2544.72998046875,22761.0703125,6579.72998046875,3.029,1276.03,350.0,20037.088,246.626,7.0,1
2017-10-09,1.16,4777.5,110190.0,1143.46,2544.72998046875,22761.0703125,6579.72998046875,3.031,1284.1,349.5,20037.088,246.626,7.0,1
2017-10-10,1.16,4763.4,98490.0,1132.08,2550.639892578125,22830.6796875,6587.25,3.0605,1287.85,349.25,20037.088,246.626,7.0,0
2017-10-11,1.16,4824.2,70480.0,1131.04,2555.239990234375,22872.890625,6603.5498046875,3.0955,1291.8,346.0,20037.088,246.626,7.0,1
2017-10-12,1.16,5432.6,163920.0,1129.71,2550.929931640625,22841.009765625,6591.509765625,3.12,1293.6,349.0,20037.088,246.626,7.0,1
2017-10-13,1.16,5637.3,215020.0,1125.01,2553.169921875,22871.720703125,6605.7998046875,3.1335,1304.88,352.75,20037.088,246.626,7.0,1
2017-10-14,1.16,5824.7,76220.0,1127.72,2557.639892578125,22956.9609375,6624.0,3.1335,1304.88,352.75,20037.088,246.626,7.0,1
2017-10-15,1.16,5688.1,101640.0,1127.72,2557.639892578125,22956.9609375,6624.0,3.1335,1304.88,352.75,20037.088,246.626,7.0,0
2017-10-16,1.16,5759.3,61360.0,1127.72,2557.639892578125,22956.9609375,6624.0,3.239,1294.74,350.5,20037.088,246.626,7.0,1
2017-10-17,1.16,5598.6,65640.0,1129.86,2559.360107421875,22997.439453125,6623.66015625,3.1955,1285.19,350.0,20037.088,246.626,7.0,0
2017-10-18,1.16,5575.8,122020.0,1130.94,2561.260009765625,23157.599609375,6624.22021484375,3.178,1281.17,348.5,20037.088,246.626,7.0,0
2017-10-19,1.16,5698.6,83060.0,1129.06,2562.10009765625,23163.0390625,6605.06982421875,3.1675,1289.79,349.0,20037.088,246.626,7.0,1
2017-10-20,1.16,5993.1,123860.0,1130.69,2575.2099609375,23328.630859375,6629.0498046875,3.1655,1280.72,344.5,20037.088,246.626,7.0,1
2017-10-21,1.16,6006.6,112940.0,1129.73,2564.97998046875,23273.9609375,6586.830078125,3.1655,1280.72,344.5,20037.088,246.626,7.0,1
2017-10-22,1.16,5982.9,105030.0,1129.73,2564.97998046875,23273.9609375,6586.830078125,3.1655,1280.72,344.5,20037.088,246.626,7.0,0
2017-10-23,1.16,5903.6,137140.0,1129.73,2564.97998046875,23273.9609375,6586.830078125,3.188,1282.07,351.25,20037.088,246.626,7.0,0
2017-10-24,1.16,5513.1,143740.0,1128.36,2569.1298828125,23441.759765625,6598.43017578125,3.198,1276.72,352.75,20037.088,246.626,7.0,0
2017-10-25,1.16,5734.0,105840.0,1126.49,2557.14990234375,23329.4609375,6563.89013671875,3.183,1277.41,351.0,20037.088,246.626,7.0,1
2017-10-26,1.16,5887.6,93680.0,1123.0,2560.39990234375,23400.859375,6556.77001953125,3.1775,1267.11,350.5,20037.088,246.626,7.0,1
2017-10-27,1.16,5764.6,83930.0,1124.79,2581.070068359375,23434.189453125,6701.259765625,3.1035,1273.35,348.75,20037.088,246.626,7.0,0
2017-10-28,1.16,5726.6,53230.0,1124.79,2572.830078125,23348.740234375,6698.9599609375,3.1035,1273.35,348.75,20037.088,246.626,7.0,0
2017-10-29,1.16,6147.5,163060.0,1124.79,2572.830078125,23348.740234375,6698.9599609375,3.1035,1273.35,348.75,20037.088,246.626,7.0,1
2017-10-30,1.16,6124.3,78620.0,1124.79,2572.830078125,23348.740234375,6698.9599609375,3.119,1276.24,348.75,20037.088,246.626,7.0,0
2017-10-31,1.07,6451.2,101250.0,1115.68,2575.260009765625,23377.240234375,6727.669921875,3.108,1271.58,345.75,20037.088,246.626,7.0,1
2017-11-01,1.16,6737.8,133190.0,1110.03,2579.360107421875,23435.009765625,6716.52978515625,3.1495,1274.39,348.25,20037.088,247.284,9.0,1
2017-11-02,1.16,7024.8,238800.0,1111.54,2579.85009765625,23516.259765625,6714.93994140625,3.1505,1275.99,350.5,20037.088,247.284,9.0,1
2017-11-03,1.16,7152.1,154890.0,1114.86,2587.840087890625,23539.189453125,6764.43994140625,3.125,1269.85,348.25,20037.088,247.284,9.0,1
2017-11-04,1.16,7363.8,106600.0,1110.09,2591.1298828125,23548.419921875,6786.43994140625,3.125,1269.85,348.25,20037.088,247.284,9.0,1
2017-11-05,1.16,7389.5,105730.0,1110.09,2591.1298828125,23548.419921875,6786.43994140625,3.125,1269.85,348.25,20037.088,247.284,9.0,1
2017-11-06,1.16,6959.2,159690.0,1110.09,2591.1298828125,23548.419921875,6786.43994140625,3.165,1281.55,348.0,20037.088,247.284,9.0,0
2017-11-07,1.16,7102.8,101050.0,1113.1,2590.639892578125,23557.23046875,6767.77978515625,3.097,1275.53,347.75,20037.088,247.284,9.0,1
2017-11-08,1.16,7444.4,220220.0,1111.14,2594.3798828125,23563.359375,6789.1201171875,3.1065,1281.3,348.25,20037.088,247.284,9.0,1
2017-11-09,1.16,7129.6,126770.0,1118.13,2584.6201171875,23461.939453125,6750.0498046875,3.0935,1285.3,341.5,20037.088,247.284,9.0,0
2017-11-10,1.16,6565.8,222000.0,1118.13,2582.300048828125,23422.2109375,6750.93994140625,3.0835,1276.14,343.5,20037.088,247.284,9.0,0
2017-11-11,1.16,6339.9,135720.0,1119.96,2584.840087890625,23439.69921875,6757.60009765625,3.0835,1276.14,343.5,20037.088,247.284,9.0,0
2017-11-12,1.16,5878.1,269830.0,1119.96,2584.840087890625,23439.69921875,6757.60009765625,3.0835,1276.14,343.5,20037.088,247.284,9.0,0
2017-11-13,1.16,6522.5,178340.0,1119.96,2584.840087890625,23439.69921875,6757.60009765625,3.124,1277.99,342.25,20037.088,247.284,9.0,1
2017-11-14,1.16,6597.1,96500.0,1113.65,2578.8701171875,23409.470703125,6737.8701171875,3.073,1280.71,337.5,20037.088,247.284,9.0,1
2017-11-15,1.16,7283.2,131120.0,1103.9,2564.6201171875,23271.279296875,6706.2099609375,3.062,1278.8,338.25,20037.088,247.284,9.0,1
2017-11-16,1.16,7853.7,133940.0,1094.49,2585.639892578125,23458.359375,6793.2900390625,3.056,1278.47,336.5,20037.088,247.284,9.0,1
2017-11-17,1.16,7700.0,117350.0,1093.15,2578.85009765625,23358.240234375,6782.7900390625,3.0755,1294.37,343.0,20037.088,247.284,9.0,0
2017-11-18,1.16,7780.9,74380.0,1093.15,2582.139892578125,23430.330078125,6790.7099609375,3.0755,1294.37,343.0,20037.088,247.284,9.0,1
2017-11-19,1.16,8042.6,68620.0,1093.15,2582.139892578125,23430.330078125,6790.7099609375,3.0755,1294.37,343.0,20037.088,247.284,9.0,1
2017-11-20,1.16,8244.7,75700.0,1093.15,2582.139892578125,23430.330078125,6790.7099609375,3.1005,1276.7,345.0,20037.088,247.284,9.0,1
2017-11-21,1.16,8100.0,115450.0,1088.1,2599.030029296875,23590.830078125,6862.47998046875,3.1355,1280.48,345.0,20037.088,247.284,9.0,0
2017-11-22,1.16,8234.5,65810.0,1085.66,2597.080078125,23526.1796875,6867.35986328125,3.144,1292.12,345.25,20037.088,247.284,9.0,1
2017-11-23,1.16,8013.4,68010.0,1085.66,2602.419921875,23557.990234375,6889.16015625,3.144,1291.25,345.25,20037.088,247.284,9.0,0
2017-11-24,1.16,8200.8,73000.0,1082.59,2602.419921875,23557.990234375,6889.16015625,3.1765,1288.22,342.25,20037.088,247.284,9.0,1
2017-11-25,1.16,8754.7,84670.0,1088.36,2601.419921875,23580.779296875,6878.52001953125,3.1765,1288.22,342.25,20037.088,247.284,9.0,1
2017-11-26,1.16,9318.4,85890.0,1088.36,2601.419921875,23580.779296875,6878.52001953125,3.1765,1288.22,342.25,20037.088,247.284,9.0,1
2017-11-27,1.16,9733.2,106900.0,1088.36,2601.419921875,23580.779296875,6878.52001953125,3.142,1294.5,338.75,20037.088,247.284,9.0,1
2017-11-28,1.16,9906.0,87760.0,1079.87,2627.0400390625,23836.7109375,6912.35986328125,3.0815,1294.01,336.25,20037.088,247.284,9.0,1
2017-11-29,1.16,9837.9,233330.0,1079.33,2626.070068359375,23940.6796875,6824.39013671875,3.06,1283.57,339.0,20037.088,247.284,9.0,0
2017-11-30,1.07,9946.8,187010.0,1084.79,2647.580078125,24272.349609375,6873.97021484375,3.0555,1274.76,341.75,20037.088,247.284,9.0,1
2017-12-01,1.16,10861.5,131920.0,1082.36,2642.219970703125,24231.58984375,6847.58984375,3.084,1280.26,344.75,20037.088,247.805,7.0,1
2017-12-02,1.16,10912.7,86830.0,1082.36,2639.43994140625,24290.05078125,6775.3701171875,3.084,1280.26,344.75,20037.088,247.805,7.0,1
2017-12-03,1.16,11246.2,122130.0,1082.36,2639.43994140625,24290.05078125,6775.3701171875,3.084,1280.26,344.75,20037.088,247.805,7.0,1
2017-12-04,1.16,11623.9,93170.0,1082.36,2639.43994140625,24290.05078125,6775.3701171875,3.081,1276.23,339.5,20037.088,247.805,7.0,1
2017-12-05,1.16,11667.1,89690.0,1086.85,2629.570068359375,24180.640625,6762.2099609375,2.9375,1266.55,339.75,20037.088,247.805,7.0,1
2017-12-06,1.16,13749.6,191580.0,1094.55,2629.27001953125,24140.91015625,6776.3798828125,2.9535,1263.94,339.25,20037.088,247.805,7.0,1
2017-12-07,1.16,16850.3,297110.0,1090.68,2636.97998046875,24211.48046875,6812.83984375,2.956,1246.7,338.75,20037.088,247.805,7.0,1
2017-12-08,1.16,16047.6,286760.0,1092.03,2651.5,24329.16015625,6840.080078125,2.9705,1248.14,340.0,20037.088,247.805,7.0,0
2017-12-09,1.16,14843.4,181980.0,1092.03,2659.989990234375,24386.029296875,6875.080078125,2.9705,1248.14,340.0,20037.088,247.805,7.0,0
2017-12-10,1.16,15059.6,201620.0,1092.03,2659.989990234375,24386.029296875,6875.080078125,2.9705,1248.14,340.0,20037.088,247.805,7.0,1
2017-12-11,1.16,16732.5,159730.0,1092.03,2659.989990234375,24386.029296875,6875.080078125,3.0035,1241.96,336.5,20037.088,247.805,7.0,1
2017-12-12,1.17,17083.9,132850.0,1090.09,2664.110107421875,24504.80078125,6862.31982421875,3.0145,1243.85,335.75,20037.088,247.805,7.0,1
2017-12-13,1.17,16286.8,155410.0,1088.01,2662.85009765625,24585.4296875,6875.7998046875,3.0445,1255.45,336.75,20037.088,247.805,7.0,0
2017-12-14,1.41,16467.9,107920.0,1088.09,2652.010009765625,24508.66015625,6856.52978515625,3.0635,1252.85,336.25,20037.088,247.805,7.0,1
2017-12-15,1.41,17604.8,153650.0,1086.39,2675.81005859375,24651.740234375,6936.580078125,3.125,1255.26,347.5,20037.088,247.805,7.0,1
2017-12-16,1.41,19345.5,112170.0,1084.28,2690.159912109375,24792.19921875,6994.759765625,3.125,1255.26,347.5,20037.088,247.805,7.0,1
2017-12-17,1.41,19065.7,117410.0,1084.28,2690.159912109375,24792.19921875,6994.759765625,3.125,1255.26,347.5,20037.088,247.805,7.0,0
2017-12-18,1.42,18972.3,139250.0,1084.28,2690.159912109375,24792.19921875,6994.759765625,3.1375,1261.69,347.0,20037.088,247.805,7.0,0
2017-12-19,1.42,17523.7,174540.0,1084.29,2681.469970703125,24754.75,6963.85009765625,3.143,1261.72,347.5,20037.088,247.805,7.0,0
2017-12-20,1.42,16462.0,227680.0,1078.14,2679.25,24726.650390625,6960.9599609375,3.187,1265.62,349.25,20037.088,247.805,7.0,0
2017-12-21,1.42,15632.1,163740.0,1078.08,2684.570068359375,24782.2890625,6965.35986328125,3.21,1266.76,351.25,20037.088,247.805,7.0,0
2017-12-22,1.42,13665.0,466980.0,1076.87,2683.340087890625,24754.060546875,6959.9599609375,3.2295,1275.01,352.0,20037.088,247.805,7.0,0
2017-12-23,1.42,14396.5,170170.0,1076.87,2680.5,24746.2109375,6936.25,3.2295,1275.01,352.0,20037.088,247.805,7.0,1
2017-12-24,1.42,13790.0,182420.0,1076.87,2680.5,24746.2109375,6936.25,3.2295,1275.01,352.0,20037.088,247.805,7.0,0
2017-12-25,1.42,13833.5,107480.0,1076.87,2680.5,24746.2109375,6936.25,3.2295,1275.24,352.0,20037.088,247.805,7.0,1
2017-12-26,1.42,15756.6,143140.0,1073.75,2680.5,24746.2109375,6936.25,3.2715,1283.29,352.75,20037.088,247.805,7.0,1
2017-12-27,1.42,15416.6,138710.0,1073.13,2682.6201171875,24774.30078125,6939.33984375,3.274,1287.41,353.75,20037.088,247.805,7.0,0
2017-12-28,1.42,14398.7,170370.0,1068.64,2687.5400390625,24837.509765625,6950.16015625,3.3085,1294.84,352.0,20037.088,247.805,7.0,0
2017-12-29,1.33,14392.6,118880.0,1067.42,2673.610107421875,24719.220703125,6903.39013671875,3.3005,1302.55,350.75,20037.088,247.805,7.0,0
2017-12-30,1.33,12531.5,182070.0,1067.42,2695.81005859375,24824.009765625,7006.89990234375,3.3005,1302.55,350.75,20037.088,247.805,7.0,0
